id,name,type,serialNumber,status,condition,customerId,dealId,deployedAt,expectedReturnDate,notes,createdAt,updatedAt,orderId,orderItemId,productServiceId,assetNumber,modelNumber,description,location,installationDate,commissionDate,warrantyStart,warrantyEnd,purchaseDate
cc8b4439-2de7-4100-bcff-cfd88ac193e7,NexControl CP-5000 Panel,Control Panel,SN-CP5000-8842,Deployed,Good,34385301-cec9-455f-94bc-b3351b22edb8,,2026-07-15 07:06:48.234+00,2027-02-10 07:06:48.234+00,Primary control unit deployed at manufacturing plant.,2026-08-14 07:06:48.235+00,2026-08-14 07:06:48.235+00,,,,,,,,,,,,
8c614672-1616-4690-ad3b-92034fb31d44,VibraSense Pro Sensor Array,Industrial Sensor,SN-[#VS-9912],In Storage,New,,,,,Demo kit ready for customer presentation.,2026-08-14 07:06:48.235+00,2026-08-14 07:06:48.235+00,,,,,,,,,,,,
bde3aec9-3e5c-452b-b77b-4203f7d60c2d,ModuLogic PLC Processor X1,PLC Unit,SN-PLC-X1-4401,Under Maintenance,Needs Service,,,,,Firmware update and calibration required.,2026-08-14 07:06:48.235+00,2026-08-14 07:06:48.235+00,,,,,,,,,,,,
30961b8a-af53-4378-9870-fa0cc8bb7a72,PowerGen 75kW Mobile Generator,Generator,SN-PG75-1029,In Transit,Good,c0e9118f-478d-4bed-9e30-9af1b0b654e0,,2026-08-12 07:06:48.234+00,,In transit to client site via express logistics.,2026-08-14 07:06:48.235+00,2026-08-14 07:06:48.235+00,,,,,,,,,,,,
85a737a2-92e8-41a3-8c58-48308d9dd622,Industrial Automation Control Panel,Control Systems,SN-2026-46F6B3,Active,Good,04403b1e-4d4f-42a9-9181-292d28bb2f11,24f4600d-22d3-4997-87b0-9285791d1878,2026-08-17 10:15:22.39+00,,Generated automatically upon fulfillment DELIVERED of Order ORD-2026-00034-2164,2026-08-17 10:15:23.761+00,2026-08-17 10:15:23.761+00,57adcdaa-411a-4507-93f6-8c174d0c5aae,67db729e-895b-42b1-bcf2-7aedebfca947,8c5d2f85-cb59-4d0e-8338-ad597e33c3d8,AST-2026-2551-1,SKU-CP-1786961707900,Industrial Automation Control Panel,"Warehouse 4, Industrial Area 1, Abu Dhabi",2026-08-17 10:15:22.39+00,2026-08-17 10:15:22.39+00,2026-08-17 10:15:22.39+00,2027-08-17 10:15:23.761+00,2026-08-17 10:15:11.85+00
57fa7760-1bdc-47ac-a7dc-77f701fa1654,Industrial Automation Control Panel,Control Systems,SN-2026-D9142F,Active,Good,04403b1e-4d4f-42a9-9181-292d28bb2f11,24f4600d-22d3-4997-87b0-9285791d1878,2026-08-17 10:15:22.39+00,,Generated automatically upon fulfillment DELIVERED of Order ORD-2026-00034-2164,2026-08-17 10:15:23.992+00,2026-08-17 10:15:23.992+00,57adcdaa-411a-4507-93f6-8c174d0c5aae,67db729e-895b-42b1-bcf2-7aedebfca947,8c5d2f85-cb59-4d0e-8338-ad597e33c3d8,AST-2026-4859-2,SKU-CP-1786961707900,Industrial Automation Control Panel,"Warehouse 4, Industrial Area 1, Abu Dhabi",2026-08-17 10:15:22.39+00,2026-08-17 10:15:22.39+00,2026-08-17 10:15:22.39+00,2027-08-17 10:15:23.992+00,2026-08-17 10:15:11.85+00
4db8815a-d939-4720-afa7-d79bce159fe9,Industrial Automation Control Panel,Control Systems,SN-2026-2AB385,Active,Good,04403b1e-4d4f-42a9-9181-292d28bb2f11,24f4600d-22d3-4997-87b0-9285791d1878,2026-08-17 10:15:22.39+00,,Generated automatically upon fulfillment DELIVERED of Order ORD-2026-00034-2164,2026-08-17 10:15:24.221+00,2026-08-17 10:15:24.221+00,57adcdaa-411a-4507-93f6-8c174d0c5aae,67db729e-895b-42b1-bcf2-7aedebfca947,8c5d2f85-cb59-4d0e-8338-ad597e33c3d8,AST-2026-2158-3,SKU-CP-1786961707900,Industrial Automation Control Panel,"Warehouse 4, Industrial Area 1, Abu Dhabi",2026-08-17 10:15:22.39+00,2026-08-17 10:15:22.39+00,2026-08-17 10:15:22.39+00,2027-08-17 10:15:24.221+00,2026-08-17 10:15:11.85+00
28ccacd1-826d-494e-bff5-15eb0a926d28,Industrial Automation Control Panel,Control Systems,SN-2026-31AEE7,Active,Good,9853e0c1-4ad0-4017-9be6-0663acfd9a43,2c9a6a37-e0b2-461b-954f-2b91eaf5ba81,2026-08-17 10:17:04.619+00,,Generated automatically upon fulfillment DELIVERED of Order ORD-2026-00035-5223,2026-08-17 10:17:05.961+00,2026-08-17 10:17:05.961+00,bb8e1b9a-a232-4019-821f-bcd66124c170,d448f876-ba34-425b-a952-eeecd86c48ef,cac7dfe8-74fd-4d17-be77-349db8d552f4,AST-2026-7672-1,SKU-CP-1786961810389,Industrial Automation Control Panel,"Warehouse 4, Industrial Area 1, Abu Dhabi",2026-08-17 10:17:04.619+00,2026-08-17 10:17:04.619+00,2026-08-17 10:17:04.619+00,2027-08-17 10:17:05.961+00,2026-08-17 10:16:54.242+00
51989dd8-5831-4423-af9f-e84cba80f12d,Industrial Automation Control Panel,Control Systems,SN-2026-462AB8,Active,Good,9853e0c1-4ad0-4017-9be6-0663acfd9a43,2c9a6a37-e0b2-461b-954f-2b91eaf5ba81,2026-08-17 10:17:04.619+00,,Generated automatically upon fulfillment DELIVERED of Order ORD-2026-00035-5223,2026-08-17 10:17:06.186+00,2026-08-17 10:17:06.186+00,bb8e1b9a-a232-4019-821f-bcd66124c170,d448f876-ba34-425b-a952-eeecd86c48ef,cac7dfe8-74fd-4d17-be77-349db8d552f4,AST-2026-7042-2,SKU-CP-1786961810389,Industrial Automation Control Panel,"Warehouse 4, Industrial Area 1, Abu Dhabi",2026-08-17 10:17:04.619+00,2026-08-17 10:17:04.619+00,2026-08-17 10:17:04.619+00,2027-08-17 10:17:06.186+00,2026-08-17 10:16:54.242+00
bcda2f2f-31da-4401-9e0b-a3f53358e8a7,Industrial Automation Control Panel,Control Systems,SN-2026-EBE4E3,Active,Good,9853e0c1-4ad0-4017-9be6-0663acfd9a43,2c9a6a37-e0b2-461b-954f-2b91eaf5ba81,2026-08-17 10:17:04.619+00,,Generated automatically upon fulfillment DELIVERED of Order ORD-2026-00035-5223,2026-08-17 10:17:06.41+00,2026-08-17 10:17:06.41+00,bb8e1b9a-a232-4019-821f-bcd66124c170,d448f876-ba34-425b-a952-eeecd86c48ef,cac7dfe8-74fd-4d17-be77-349db8d552f4,AST-2026-2597-3,SKU-CP-1786961810389,Industrial Automation Control Panel,"Warehouse 4, Industrial Area 1, Abu Dhabi",2026-08-17 10:17:04.619+00,2026-08-17 10:17:04.619+00,2026-08-17 10:17:04.619+00,2027-08-17 10:17:06.41+00,2026-08-17 10:16:54.242+00
