id,status,totalAmount,dueDate,notes,createdAt,updatedAt,quoteId
3991be0d-31b7-4219-be03-a9b3c66c4fff,Paid,126000.00,2026-09-04 11:11:56.238+00,Standard NET 30 Invoice for Genesis Systems Inc. - Automated Supply Chain Orchestration,2026-08-05 11:11:56.239+00,2026-08-05 11:11:56.239+00,698cb920-6ed1-4445-b4a7-f361c6f3d920
a2ffd4c0-5bf4-40b6-b0c6-64014af8a305,Sent,403000.00,2026-09-04 11:12:00.513+00,Standard NET 30 Invoice for Nexus Systems Inc. - Enterprise Cloud Migration & Data Suite,2026-08-05 11:12:00.513+00,2026-08-05 11:12:00.513+00,70c3006d-61c7-4b95-ab2e-aa1320472862
ad279a0c-d46e-4f44-8cc7-1d43ae99eb85,Paid,78000.00,2026-09-04 11:12:04.786+00,Standard NET 30 Invoice for Velocity Systems Inc. - Automated Supply Chain Orchestration,2026-08-05 11:12:04.786+00,2026-08-05 11:12:04.786+00,b2173e92-9e41-4ded-bdf2-a55a25528cbe
2b352630-cb8c-4599-a3c9-01b7a88722b7,Sent,105500.00,2026-09-04 11:12:09.052+00,Standard NET 30 Invoice for Aegis Systems Inc. - Next-Gen Digital Transformation Deal,2026-08-05 11:12:09.053+00,2026-08-05 11:12:09.053+00,fa40a536-6627-4c92-ae8e-fb761290ef27
78305b6a-cf78-4416-a342-feec6dec68d4,Paid,180000.00,2026-09-04 11:12:13.508+00,Standard NET 30 Invoice for Equinox Systems Inc. - Global Multi-Site ERP Integration,2026-08-05 11:12:13.509+00,2026-08-05 11:12:13.509+00,6033f51f-a12d-47b9-a04d-d69d55016dd7
3f782589-f533-46a0-b93f-400f42078f2d,Sent,460500.00,2026-09-04 11:12:17.764+00,Standard NET 30 Invoice for Veritas Systems Inc. - Next-Gen Digital Transformation Deal,2026-08-05 11:12:17.764+00,2026-08-05 11:12:17.764+00,6a75b2a8-62ce-4b72-b2fe-9b51081c1dc2
f9b963ca-b2db-416c-807e-423803abde40,Paid,174000.00,2026-09-04 11:12:22.024+00,Standard NET 30 Invoice for Genesis Systems Group - SOC2 Compliance & Infrastructure Hardening,2026-08-05 11:12:22.024+00,2026-08-05 11:12:22.024+00,04405481-e84d-4924-ac36-bbbcaffbc247
c8b4d573-2331-4943-89cb-b6c550f9513a,Sent,345500.00,2026-09-04 11:12:26.279+00,Standard NET 30 Invoice for Nexus Systems Group - SOC2 Compliance & Infrastructure Hardening,2026-08-05 11:12:26.28+00,2026-08-05 11:12:26.28+00,f7b6b019-231a-41c5-a242-d3edb5467b15
e2b11bdf-0bb4-4e71-a621-7e9d8a79e731,Paid,156000.00,2026-09-04 11:12:30.532+00,Standard NET 30 Invoice for Velocity Systems Group - Executive Business Intelligence Hub,2026-08-05 11:12:30.532+00,2026-08-05 11:12:30.532+00,7c749f57-0b08-4e68-b567-ba80195f9252
81faf7c4-93c6-4cef-9d41-75cd4aa5fdc6,Sent,268500.00,2026-09-04 11:12:34.786+00,Standard NET 30 Invoice for Aegis Systems Group - Automated Supply Chain Orchestration,2026-08-05 11:12:34.787+00,2026-08-05 11:12:34.787+00,05b21d74-acd4-4d29-b7c6-d7dc57f106c5
